,E,D,C,B,A,O,A',B',C',D',E',outcomes,str_out_det
20,12324,8104,7590,7268,6576,8178,6371,6737,7299,7707,11846,"{'tie': 90, 'left_suc_strategic': 61, 'left_unsuc_best_try': 583, 'left_unsuc_sincere': 592, 'left_unsuc_random': 622, 'left_winning_sincere': 43923, 'right_suc_strategic': 65, 'right_unsuc_best_try': 624, 'right_unsuc_sincere': 611, 'right_unsuc_random': 634, 'right_winning_sincere': 41699}","{'left_suc_strategic': {-9: 0, -7: 8, -5: 20, -3: 17, -1: 16}, 'left_unsuc_best_try': {-9: 379, -7: 55, -5: 62, -3: 44, -1: 43}, 'right_suc_strategic': {1: 24, 3: 17, 5: 16, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 36, 3: 55, 5: 45, 7: 53, 9: 435}}"
21,12242,8100,7587,7328,6621,8178,6398,6752,7323,7744,11727,"{'tie': 89, 'left_suc_strategic': 51, 'left_unsuc_best_try': 560, 'left_unsuc_sincere': 546, 'left_unsuc_random': 553, 'left_winning_sincere': 44143, 'right_suc_strategic': 76, 'right_unsuc_best_try': 527, 'right_unsuc_sincere': 582, 'right_unsuc_random': 612, 'right_winning_sincere': 41792}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 12, -3: 17, -1: 15}, 'left_unsuc_best_try': {-9: 381, -7: 61, -5: 52, -3: 34, -1: 32}, 'right_suc_strategic': {1: 25, 3: 22, 5: 18, 7: 11, 9: 0}, 'right_unsuc_best_try': {1: 29, 3: 48, 5: 34, 7: 49, 9: 367}}"
22,12209,8123,7567,7311,6658,8178,6414,6756,7340,7730,11714,"{'tie': 85, 'left_suc_strategic': 50, 'left_unsuc_best_try': 525, 'left_unsuc_sincere': 512, 'left_unsuc_random': 492, 'left_winning_sincere': 44304, 'right_suc_strategic': 63, 'right_unsuc_best_try': 540, 'right_unsuc_sincere': 572, 'right_unsuc_random': 490, 'right_winning_sincere': 41876}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 22, -3: 15, -1: 8}, 'left_unsuc_best_try': {-9: 355, -7: 46, -5: 38, -3: 52, -1: 34}, 'right_suc_strategic': {1: 23, 3: 17, 5: 17, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 36, 3: 44, 5: 41, 7: 60, 9: 359}}"
23,12129,8137,7599,7309,6679,8178,6431,6768,7337,7763,11670,"{'tie': 78, 'left_suc_strategic': 62, 'left_unsuc_best_try': 463, 'left_unsuc_sincere': 485, 'left_unsuc_random': 481, 'left_winning_sincere': 44377, 'right_suc_strategic': 50, 'right_unsuc_best_try': 505, 'right_unsuc_sincere': 494, 'right_unsuc_random': 498, 'right_winning_sincere': 42021}","{'left_suc_strategic': {-9: 0, -7: 8, -5: 15, -3: 25, -1: 14}, 'left_unsuc_best_try': {-9: 313, -7: 50, -5: 36, -3: 34, -1: 30}, 'right_suc_strategic': {1: 11, 3: 18, 5: 12, 7: 9, 9: 0}, 'right_unsuc_best_try': {1: 34, 3: 38, 5: 54, 7: 49, 9: 330}}"
24,12085,8164,7606,7322,6669,8178,6472,6781,7341,7781,11601,"{'tie': 84, 'left_suc_strategic': 60, 'left_unsuc_best_try': 426, 'left_unsuc_sincere': 462, 'left_unsuc_random': 442, 'left_winning_sincere': 44438, 'right_suc_strategic': 51, 'right_unsuc_best_try': 443, 'right_unsuc_sincere': 483, 'right_unsuc_random': 468, 'right_winning_sincere': 42146}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 17, -3: 17, -1: 21}, 'left_unsuc_best_try': {-9: 285, -7: 32, -5: 44, -3: 29, -1: 36}, 'right_suc_strategic': {1: 19, 3: 13, 5: 11, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 34, 3: 31, 5: 40, 7: 45, 9: 293}}"
25,12073,8141,7632,7342,6682,8178,6463,6797,7334,7769,11589,"{'tie': 84, 'left_suc_strategic': 45, 'left_unsuc_best_try': 442, 'left_unsuc_sincere': 427, 'left_unsuc_random': 378, 'left_winning_sincere': 44555, 'right_suc_strategic': 46, 'right_unsuc_best_try': 466, 'right_unsuc_sincere': 442, 'right_unsuc_random': 420, 'right_winning_sincere': 42248}","{'left_suc_strategic': {-9: 0, -7: 12, -5: 10, -3: 15, -1: 8}, 'left_unsuc_best_try': {-9: 307, -7: 47, -5: 32, -3: 30, -1: 26}, 'right_suc_strategic': {1: 17, 3: 10, 5: 13, 7: 6, 9: 0}, 'right_unsuc_best_try': {1: 38, 3: 30, 5: 39, 7: 49, 9: 310}}"
26,12026,8152,7646,7346,6710,8178,6481,6803,7347,7777,11534,"{'tie': 75, 'left_suc_strategic': 41, 'left_unsuc_best_try': 390, 'left_unsuc_sincere': 383, 'left_unsuc_random': 381, 'left_winning_sincere': 44682, 'right_suc_strategic': 48, 'right_unsuc_best_try': 404, 'right_unsuc_sincere': 406, 'right_unsuc_random': 396, 'right_winning_sincere': 42350}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 10, -3: 15, -1: 9}, 'left_unsuc_best_try': {-9: 264, -7: 36, -5: 29, -3: 36, -1: 25}, 'right_suc_strategic': {1: 11, 3: 19, 5: 10, 7: 8, 9: 0}, 'right_unsuc_best_try': {1: 27, 3: 26, 5: 42, 7: 25, 9: 284}}"
27,11982,8171,7665,7358,6706,8178,6488,6818,7355,7789,11490,"{'tie': 93, 'left_suc_strategic': 60, 'left_unsuc_best_try': 374, 'left_unsuc_sincere': 361, 'left_unsuc_random': 360, 'left_winning_sincere': 44741, 'right_suc_strategic': 63, 'right_unsuc_best_try': 376, 'right_unsuc_sincere': 395, 'right_unsuc_random': 371, 'right_winning_sincere': 42388}","{'left_suc_strategic': {-9: 0, -7: 9, -5: 13, -3: 20, -1: 18}, 'left_unsuc_best_try': {-9: 268, -7: 35, -5: 28, -3: 18, -1: 25}, 'right_suc_strategic': {1: 23, 3: 13, 5: 14, 7: 13, 9: 0}, 'right_unsuc_best_try': {1: 21, 3: 32, 5: 32, 7: 26, 9: 265}}"
28,11957,8176,7682,7369,6731,8178,6495,6834,7350,7791,11437,"{'tie': 77, 'left_suc_strategic': 44, 'left_unsuc_best_try': 361, 'left_unsuc_sincere': 313, 'left_unsuc_random': 343, 'left_winning_sincere': 44834, 'right_suc_strategic': 37, 'right_unsuc_best_try': 349, 'right_unsuc_sincere': 333, 'right_unsuc_random': 372, 'right_winning_sincere': 42497}","{'left_suc_strategic': {-9: 0, -7: 5, -5: 10, -3: 17, -1: 12}, 'left_unsuc_best_try': {-9: 232, -7: 42, -5: 39, -3: 28, -1: 20}, 'right_suc_strategic': {1: 14, 3: 10, 5: 8, 7: 5, 9: 0}, 'right_unsuc_best_try': {1: 13, 3: 18, 5: 35, 7: 31, 9: 252}}"
29,11908,8189,7688,7370,6731,8178,6522,6843,7359,7814,11398,"{'tie': 79, 'left_suc_strategic': 35, 'left_unsuc_best_try': 301, 'left_unsuc_sincere': 322, 'left_unsuc_random': 333, 'left_winning_sincere': 44937, 'right_suc_strategic': 36, 'right_unsuc_best_try': 331, 'right_unsuc_sincere': 342, 'right_unsuc_random': 328, 'right_winning_sincere': 42528}","{'left_suc_strategic': {-9: 0, -7: 7, -5: 6, -3: 7, -1: 15}, 'left_unsuc_best_try': {-9: 222, -7: 16, -5: 23, -3: 20, -1: 20}, 'right_suc_strategic': {1: 8, 3: 18, 5: 7, 7: 3, 9: 0}, 'right_unsuc_best_try': {1: 13, 3: 17, 5: 41, 7: 31, 9: 229}}"
